FID_,WZ11CD,POINT_X,POINT_Y,All_categ,km0_2,km2_5,km5_10,km10_20,km20_30,km30_40,km40_60,km60_over,home_work,Not_fixed,Total_km,Average_km
,E33045489,374761.973999999990000,164869.071000000000000,801,209,123,65,280,43,20,31,27,2,1,11732.900000000000000,14.699999999999999
,E33045611,360799.903999999980000,172784.253000000000000,393,55,114,91,41,17,8,16,13,18,20,4955.000000000000000,14.000000000000000
,E33045690,360878.461000000010000,183040.427000000000000,303,49,34,94,60,16,19,19,12,0,0,5202.000000000000000,17.199999999999999
,E33047807,377059.630000000000000,178838.442000000010000,367,23,12,42,92,36,12,2,7,102,39,3690.300000000000200,16.300000000000001
,E33045488,365543.829000000030000,168487.776000000010000,924,156,170,277,232,60,13,9,5,2,0,8645.799999999999300,9.400000000000000
,E33047804,373576.155000000030000,177268.201000000000000,353,13,48,62,47,16,7,6,5,117,32,2731.599999999999900,13.400000000000000
,E33047805,367064.483000000010000,170238.416000000000000,251,29,51,44,26,3,3,3,3,59,30,1722.300000000000000,10.600000000000000
,E33047802,375591.162000000010000,181350.152999999990000,306,20,49,25,69,14,7,0,2,83,37,2106.400000000000100,11.300000000000001
,E33047803,378038.441999999980000,173796.181000000010000,411,49,8,29,92,15,13,13,8,114,70,3747.099999999999900,16.500000000000000
,E33047800,369942.754000000020000,172946.428000000010000,488,35,71,85,62,18,6,6,7,117,81,3744.699999999999800,12.900000000000000
,E33047801,372919.162000000010000,172431.340999999990000,209,12,23,34,24,6,3,1,0,90,16,993.500000000000000,9.600000000000000
,E33045618,360675.079000000030000,173692.908000000000000,641,92,216,189,56,32,15,16,14,5,6,6329.699999999999800,10.000000000000000
,E33045699,360378.658999999990000,180482.739000000000000,1740,153,382,658,309,91,60,40,23,11,13,19056.400000000001000,11.100000000000000
,E33045619,360658.368000000020000,173467.761000000000000,423,66,128,92,38,23,12,20,32,9,3,9328.500000000000000,22.699999999999999
,E33045698,359806.776000000010000,179155.383000000000000,2075,282,521,507,332,144,122,81,83,1,2,33638.800000000003000,16.199999999999999
,E33047808,377333.963999999980000,183791.310999999990000,279,36,17,29,38,5,4,1,1,106,42,1237.700000000000000,9.400000000000000
,E33047809,365978.565000000000000,175297.462000000000000,459,85,128,69,18,3,2,4,3,72,75,2044.599999999999900,6.600000000000000
,E33047166,359429.011000000000000,172587.155000000000000,319,53,90,82,39,26,6,14,9,0,0,3804.699999999999800,11.900000000000000
,E33047167,359215.353999999990000,172807.522999999990000,521,124,157,64,72,33,27,16,28,0,0,7778.399999999999600,14.900000000000000
,E33047165,359327.473999999990000,172539.258999999990000,573,96,172,113,88,26,27,18,31,2,0,9477.299999999999300,16.600000000000001
,E33047162,358745.370000000000000,173460.722000000010000,816,162,244,218,104,45,11,23,8,1,0,7500.699999999999800,9.199999999999999
,E33047163,358769.000000000000000,173377.999000000010000,795,107,238,185,85,54,44,27,55,0,0,14710.799999999999000,18.500000000000000
,E33047160,358340.799999999990000,172352.962000000000000,2707,426,582,533,570,247,118,114,101,9,7,41964.900000000001000,15.600000000000000
,E33047161,358596.814000000010000,173373.812000000010000,1118,169,368,290,169,49,28,25,14,2,4,10963.500000000000000,9.900000000000000
,E33047376,357806.393999999970000,175076.394999999990000,267,45,54,37,8,4,2,7,7,74,29,1849.099999999999900,11.300000000000001
,E33047377,357580.344999999970000,175893.073000000000000,561,138,136,94,41,10,5,6,9,94,28,3763.500000000000000,8.600000000000000
,E33047374,357437.246999999970000,175478.299000000000000,647,152,225,97,27,9,2,2,3,98,32,2890.599999999999900,5.600000000000000
,E33047375,358200.711000000010000,175793.492999999990000,313,42,26,15,6,1,0,0,2,161,60,571.899999999999980,6.200000000000000
,E33047372,359427.140000000010000,175753.421999999990000,274,27,23,19,11,5,3,3,6,118,59,1398.599999999999900,14.400000000000000
,E33047373,357878.253000000030000,175605.000999999990000,303,39,45,50,12,6,2,0,0,106,43,939.600000000000020,6.100000000000000
,E33047168,359342.041000000030000,172651.818000000000000,325,59,123,85,34,10,7,1,4,2,0,2690.000000000000000,8.300000000000001
,E33047370,359138.125000000000000,176148.128000000000000,301,37,28,27,10,1,0,0,4,116,78,1025.200000000000000,9.600000000000000
,E33047169,359225.120999999980000,172629.048000000010000,312,35,88,89,36,20,9,16,10,7,2,4169.399999999999600,13.800000000000001
,E33047371,359746.918999999990000,175539.375999999990000,901,159,204,141,91,39,30,9,9,120,99,6725.199999999999800,9.900000000000000
,E33047546,356711.054000000000000,167914.668000000010000,733,133,80,71,66,9,6,2,4,137,225,2901.099999999999900,7.800000000000000
,E33047547,357592.177000000030000,167801.114000000000000,639,150,66,60,34,8,3,3,1,106,208,1797.900000000000100,5.500000000000000
,E33047544,362103.721000000020000,168247.659000000010000,448,145,66,64,35,7,0,0,2,54,75,1554.900000000000100,4.900000000000000
,E33047545,361277.929999999990000,170068.837000000000000,290,49,73,49,22,7,2,3,3,50,32,1837.200000000000000,8.800000000000001
,E33047542,361291.446999999990000,168766.214000000010000,352,74,17,22,6,0,1,0,2,90,140,743.500000000000000,6.100000000000000
,E33047543,362204.452999999980000,168437.103999999990000,299,79,30,24,13,4,1,0,0,80,68,648.000000000000000,4.300000000000000
,E33047540,357569.901000000010000,168258.418000000010000,376,107,69,78,61,7,4,5,5,14,26,2845.800000000000200,8.500000000000000
,E33047378,357390.251999999980000,174966.597000000010000,630,88,154,173,55,28,7,3,9,80,33,5407.500000000000000,10.500000000000000
,E33047541,362566.462999999990000,168597.284000000010000,344,28,30,22,7,0,0,1,0,120,136,400.000000000000000,4.500000000000000
,E33047379,364004.226000000020000,175021.158000000000000,603,100,162,103,37,19,12,22,29,49,70,7562.100000000000400,15.600000000000000
,E33047756,362339.780000000030000,180043.597000000010000,388,93,53,61,24,6,3,2,1,85,60,1434.300000000000000,5.900000000000000
,E33047757,365314.335000000020000,180431.652000000000000,306,42,37,53,26,1,0,0,2,80,65,1179.099999999999900,7.300000000000000
,E33047754,361569.966000000010000,181291.076999999990000,327,81,17,29,12,4,2,1,1,85,95,831.600000000000020,5.700000000000000
